rect,N,M,S_est,abs_err,rel_err
wide,60100,5943,0.96258800665557409104,0.01807082075557409073,0.01913233663223923992
wide,60600,5851,0.93986756435643570295,0.00464962154356429735,0.00492274954122070597
wide,61100,5856,0.93297293617021292977,0.01154424972978707054,0.01222238187099467834
wide,61600,5922,0.93582981818181820710,0.00868736771818179321,0.00919768093992263426
wide,62100,6110,0.95776463768115949193,0.01324745178115949162,0.01402563339124043677
wide,62600,6164,0.95851184664536748237,0.01399466074536748206,0.01481673489300506553
wide,63100,6137,0.94675139144215536557,0.00223420554215536526,0.00236544720996946468
wide,63600,6110,0.93517584905660389172,0.00934133684339610859,0.00989006550949631490
wide,64100,6144,0.93304451794071774362,0.01147266795928225669,0.01214659524522078600
wide,64600,6349,0.95671370897832819225,0.01219652307832819194,0.01291297105060774247
wide,65100,6327,0.94607601843317978840,0.00155883253317978809,0.00165040145002171316
wide,65600,6344,0.94138770731707333006,0.00312947858292667025,0.00331331036602017020
wide,66100,6507,0.95827141906202728538,0.01375423316202728508,0.01456218411623851940
wide,66600,6403,0.93587632432432443785,0.00864086157567556246,0.00914844293430401058
wide,67100,6492,0.94181408047690018392,0.00270310542309981638,0.00286189120055461380
wide,67600,6639,0.95601599999999997692,0.01149881409999997661,0.01217427726213697950
wide,68100,6567,0.93870491629955954416,0.00581226960044045615,0.00615369385248626475
wide,68600,6497,0.92192998250728874776,0.02258720339271125255,0.02391402054922762976
wide,69100,6701,0.94399731403762676685,0.00051987186237323346,0.00055041016736806579
wide,69600,6752,0.94434868965517249073,0.00016849624482750958,0.00017839404866620286
wide,70100,6870,0.95399897289586310656,0.00948178699586310625,0.01003876598267316490
wide,70600,6835,0.94241677053824379762,0.00210041536175620269,0.00222379792883787989
wide,71100,6972,0.95454622784810128078,0.01002904194810128047,0.01061816777695254871
wide,71600,6818,0.92694328491620125998,0.01757390098379874033,0.01860622680682420468
wide,72100,6984,0.94292717891816923981,0.00159000698183076050,0.00168340714765893222
wide,72600,7077,0.94890287603305789599,0.00438569013305789568,0.00464331427583174455
wide,73100,7153,0.95253301231190157239,0.00801582641190157208,0.00848669196449141315
wide,73600,7190,0.95095565217391309076,0.00643846627391309045,0.00681667456138247349
wide,74100,7081,0.93021978947368433310,0.01429739642631566721,0.01513725386869709325
wide,74600,7223,0.94251435924932980281,0.00200282665067019749,0.00212047666317661393
wide,75100,7350,0.95270093209054595995,0.00818374619054595964,0.00866447568420677418
wide,75600,7391,0.95167923809523813361,0.00716205219523813330,0.00758276535584013166
wide,76100,7358,0.94120519316688566747,0.00331199273311433284,0.00350654575962897020
wide,76600,7404,0.94090727937336815501,0.00360990652663184530,0.00382195960065256175
wide,77100,7496,0.94642104280155658902,0.00190385690155658871,0.00201569323457303183
wide,77600,7378,0.92552065979381459293,0.01899652610618540738,0.02011241975240951260
wide,78100,7594,0.94651771574903975637,0.00200052984903975606,0.00211804494285989684
wide,78600,7628,0.94470741984732831131,0.00019023394732831100,0.00020140866695511021
wide,79100,7762,0.95522645764854618999,0.01070927174854618968,0.01133835562593990196
wide,79600,7739,0.94641358793969854180,0.00189640203969854149,0.00200780045933364459
wide,80100,7878,0.95739829213483151893,0.01288110623483151862,0.01363776798042857022
wide,80600,7713,0.93153135483870985745,0.01298583106129014286,0.01374864455104261862
wide,81100,7815,0.93803127003699138253,0.00648591586300861778,0.00686691143351552367
wide,81600,7978,0.95172847058823528688,0.00721128468823528657,0.00763488986318855162
wide,82100,7960,0.94379809987819740513,0.00071908602180259518,0.00076132656190623074
wide,82600,7878,0.92842134624697347789,0.01609583965302652242,0.01704134121994753739
wide,83100,8111,0.95012898194945860642,0.00561179604945860611,0.00594144408723628129
wide,83600,8118,0.94526147368421065131,0.00074428778421065100,0.00078800872585652656
wide,84100,8122,0.94010459928656364692,0.00441258661343635339,0.00467179070884956096
wide,84600,8023,0.92315710638297876489,0.02136007951702123542,0.02261481298158476982
wide,85100,8258,0.94461427967097544300,0.00009709377097544269,0.00010279725178629246
wide,85600,8305,0.94444149532710286454,0.00007569057289713577,0.00008013678737355388
wide,86100,8323,0.94099200000000005062,0.00352518589999994969,0.00373226231626575802
wide,86600,8483,0.95354405542725184652,0.00902686952725184621,0.00955712575907280426
wide,87100,8347,0.93287068656716432002,0.01164649933283568028,0.01233063781866298829
wide,87600,8509,0.94554805479452064265,0.00103086889452064234,0.00109142417936880683
wide,88100,8498,0.93896630192962549089,0.00555088397037450942,0.00587695391173348632
wide,88600,8721,0.95816819864559832354,0.01365101274559832323,0.01445290032768510417
wide,89100,8654,0.94547135353535360913,0.00095416763535360882,0.00101021733600793425
wide,89600,8843,0.96072878571428577121,0.01621159981428577090,0.01716390136283042767
wide,90100,8724,0.94254057269700342037,0.00197661320299657994,0.00209272338556034743
wide,90600,8990,0.96591894039735104460,0.02140175449735104429,0.02265893603297223363
wide,91100,8838,0.94437571020856214687,0.00014147569143785343,0.00014978625434226039
wide,91600,9135,0.97078323144104805564,0.02626604554104805533,0.02780896518682186500
wide,92100,8889,0.93951228664495123333,0.00500489925504876698,0.00529889697060383254
wide,92600,8999,0.94600286825054002993,0.00148568235054002962,0.00157295428047121320
wide,93100,8826,0.92283366702470470688,0.02168351887529529343,0.02295725180969975313
wide,93600,9081,0.94442400000000015226,0.00009318589999984805,0.00009865982471356962
wide,94100,9009,0.93195759404888423028,0.01255959185111577003,0.01329736720369798127
wide,94600,9170,0.94359881606765327877,0.00091836983234672154,0.00097231669900387939
wide,95100,9146,0.93618109779179825569,0.00833608810820174462,0.00882576646846140213
wide,95600,9039,0.92038955648535580867,0.02412762941464419164,0.02554493425300011916
wide,96100,9301,0.94214000416233101287,0.00237718173766898744,0.00251682211097498196
wide,96600,9555,0.96285913043478266182,0.01834194453478266151,0.01941938676034276126
wide,97100,9552,0.95760029660144196928,0.01308311070144196897,0.01385163859032961277
wide,97600,9549,0.95239534426229510711,0.00787815836229510680,0.00834093702041881213
wide,98100,9403,0.93305365137614681981,0.01146353452385318050,0.01213692529366731249
wide,98600,9588,0.94658648275862067312,0.00206929685862067281,0.00219085146306671665
wide,99100,9507,0.93385409485368320315,0.01066309104631679716,0.01128946217760588497
wide,99600,9684,0.94646515662650609890,0.00194797072650609859,0.00206239839315357741
wide,100000,9592,0.93372364800000018370,0.01079353789999981661,0.01142757173837446148
